"Gene > Systematic Name","Gene > Standard Name","Gene > Interactions > Participant 2 . Secondary Identifier","Gene > Interactions > Participant 2 > Standard Name","Gene > Interactions > Details > Relationship Type"
"YAL024C","LTE1","YAL013W","DEP1","genetic"
"YAL024C","LTE1","YAL016W","TPD3","physical"
"YAL024C","LTE1","YAL016W","TPD3","physical"
"YAL024C","LTE1","YAL021C","CCR4","physical"
"YAL024C","LTE1","YAL041W","CDC24","genetic"
"YAL024C","LTE1","YAL041W","CDC24","genetic"
"YAL024C","LTE1","YAR003W","SWD1","genetic"
"YAL024C","LTE1","YAR019C","CDC15","genetic"
"YAL024C","LTE1","YAR019C","CDC15","genetic"
"YAL024C","LTE1","YBL016W","FUS3","genetic"
"YAL024C","LTE1","YBL025W","RRN10","genetic"
"YAL024C","LTE1","YBL027W","RPL19B","genetic"
"YAL024C","LTE1","YBL031W","SHE1","genetic"
"YAL024C","LTE1","YBL031W","SHE1","genetic"
"YAL024C","LTE1","YBL032W","HEK2","genetic"
"YAL024C","LTE1","YBL058W","SHP1","genetic"
"YAL024C","LTE1","YBL058W","SHP1","genetic"
"YAL024C","LTE1","YBL079W","NUP170","genetic"
"YAL024C","LTE1","YBL084C","CDC27","genetic"
"YAL024C","LTE1","YBL087C","RPL23A","genetic"
"YAL024C","LTE1","YBL087C","RPL23A","genetic"
"YAL024C","LTE1","YBL087C","RPL23A","genetic"
"YAL024C","LTE1","YBL087C","RPL23A","physical"
"YAL024C","LTE1","YBL088C","TEL1","genetic"
"YAL024C","LTE1","YBL088C","TEL1","genetic"
"YAL024C","LTE1","YBL097W","BRN1","physical"
"YAL024C","LTE1","YBL097W","BRN1","physical"
"YAL024C","LTE1","YBR004C","GPI18","genetic"
"YAL024C","LTE1","YBR009C","HHF1","genetic"
"YAL024C","LTE1","YBR036C","CSG2","genetic"
"YAL024C","LTE1","YBR049C","REB1","genetic"
"YAL024C","LTE1","YBR057C","MUM2","genetic"
"YAL024C","LTE1","YBR058C","UBP14","genetic"
"YAL024C","LTE1","YBR058C-A","TSC3","genetic"
"YAL024C","LTE1","YBR060C","ORC2","genetic"
"YAL024C","LTE1","YBR095C","RXT2","genetic"
"YAL024C","LTE1","YBR095C","RXT2","genetic"
"YAL024C","LTE1","YBR095C","RXT2","genetic"
"YAL024C","LTE1","YBR097W","VPS15","genetic"
"YAL024C","LTE1","YBR110W","ALG1","genetic"
"YAL024C","LTE1","YBR111W-A","SUS1","genetic"
"YAL024C","LTE1","YBR111W-A","SUS1","genetic"
"YAL024C","LTE1","YBR119W","MUD1","genetic"
"YAL024C","LTE1","YBR133C","HSL7","genetic"
"YAL024C","LTE1","YBR135W","CKS1","genetic"
"YAL024C","LTE1","YBR135W","CKS1","genetic"
"YAL024C","LTE1","YBR140C","IRA1","genetic"
"YAL024C","LTE1","YBR158W","AMN1","genetic"
"YAL024C","LTE1","YBR160W","CDC28","genetic"
"YAL024C","LTE1","YBR160W","CDC28","genetic"
"YAL024C","LTE1","YBR160W","CDC28","genetic"
"YAL024C","LTE1","YBR160W","CDC28","physical"
"YAL024C","LTE1","YBR160W","CDC28","physical"
"YAL024C","LTE1","YBR175W","SWD3","genetic"
"YAL024C","LTE1","YBR196C-A","","genetic"
"YAL024C","LTE1","YBR198C","TAF5","genetic"
"YAL024C","LTE1","YBR200W","BEM1","genetic"
"YAL024C","LTE1","YBR200W","BEM1","genetic"
"YAL024C","LTE1","YBR200W","BEM1","genetic"
"YAL024C","LTE1","YBR200W","BEM1","genetic"
"YAL024C","LTE1","YBR202W","MCM7","genetic"
"YAL024C","LTE1","YBR245C","ISW1","physical"
"YAL024C","LTE1","YBR267W","REI1","genetic"
"YAL024C","LTE1","YCL009C","ILV6","physical"
"YAL024C","LTE1","YCL016C","DCC1","genetic"
"YAL024C","LTE1","YCL016C","DCC1","genetic"
"YAL024C","LTE1","YCL016C","DCC1","genetic"
"YAL024C","LTE1","YCL016C","DCC1","genetic"
"YAL024C","LTE1","YCL017C","NFS1","genetic"
"YAL024C","LTE1","YCL017C","NFS1","physical"
"YAL024C","LTE1","YCL029C","BIK1","genetic"
"YAL024C","LTE1","YCL037C","SRO9","genetic"
"YAL024C","LTE1","YCL040W","GLK1","physical"
"YAL024C","LTE1","YCL061C","MRC1","genetic"
"YAL024C","LTE1","YCL061C","MRC1","genetic"
