Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name
S000000039	YAL041W	CDC24
S000000404	YBR200W	BEM1
S000000999	YHL007C	STE20
S000001445	YIR006C	PAN1
S000002294	YDL135C	RDI1
S000002399	YDL240W	LRG1
S000002787	YDR379W	RGA2
S000003384	YGR152C	RSR1
S000003939	YLL016W	SDC25
S000003940	YLL017W	""
S000004219	YLR229C	CDC42
S000004301	YLR310C	CDC25
S000005042	YNL098C	RAS2
S000005215	YNL271C	BNI1
S000005242	YNL298W	CLA4
S000005473	YOL113W	SKM1
S000005627	YOR101W	RAS1
S000005653	YOR127W	RGA1
S000005707	YOR181W	LAS17
S000006293	YPR089W	""
