Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name
S000000112	YBL016W	FUS3
S000000822	YER020W	GPA2
S000001047	YHR005C	GPA1
S000001072	YHR030C	SLT2
S000001171	YHR129C	ARP1
S000001855	YFL039C	ACT1
S000003272	YGR040W	KSS1
S000003391	YGR159C	NSR1
S000003944	YLL021W	SPA2
S000004187	YLR197W	NOP56
S000004219	YLR229C	CDC42
S000004311	YLR319C	BUD6
S000004550	YML085C	TUB1
S000004573	YML105C	SEC65
S000004593	YML124C	TUB3
S000004636	YMR033W	ARP9
S000005648	YOR122C	PFY1
S000005738	YOR212W	STE4
S000006164	YPL243W	SRP68
S000006292	YPR088C	SRP54
S000006369	YPR165W	RHO1
