Gene > Primary DBID	Gene > Systematic Name	Gene > Standard Name	Gene > Interactions > Participant 2 > Standard Name	Gene > Interactions > Participant 2 . Secondary Identifier	Gene > Interactions > Participant 2 . Primary Identifier	Gene > Interactions > Details > Relationship Type
S000000022	YAL024C	LTE1	AAT2	YLR027C	S000004017	genetic
S000000022	YAL024C	LTE1	ACS2	YLR153C	S000004143	genetic
S000000022	YAL024C	LTE1	ACS2	YLR153C	S000004143	genetic
S000000022	YAL024C	LTE1	ACS2	YLR153C	S000004143	genetic
S000000022	YAL024C	LTE1	ACT1	YFL039C	S000001855	genetic
S000000022	YAL024C	LTE1	ACT1	YFL039C	S000001855	genetic
S000000022	YAL024C	LTE1	ADE4	YMR300C	S000004915	physical
S000000022	YAL024C	LTE1	AFG2	YLR397C	S000004389	genetic
S000000022	YAL024C	LTE1	AGA2	YGL032C	S000003000	genetic
S000000022	YAL024C	LTE1	AIM17	YHL021C	S000001013	physical
S000000022	YAL024C	LTE1	AIM22	YJL046W	S000003582	genetic
S000000022	YAL024C	LTE1	ALD5	YER073W	S000000875	genetic
S000000022	YAL024C	LTE1	ALF1	YNL148C	S000005092	genetic
S000000022	YAL024C	LTE1	ALG1	YBR110W	S000000314	genetic
S000000022	YAL024C	LTE1	AMN1	YBR158W	S000000362	genetic
S000000022	YAL024C	LTE1	APC11	YDL008W	S000002166	genetic
S000000022	YAL024C	LTE1	APC5	YOR249C	S000005775	genetic
S000000022	YAL024C	LTE1	APC9	YLR102C	S000004092	genetic
S000000022	YAL024C	LTE1	APC9	YLR102C	S000004092	genetic
S000000022	YAL024C	LTE1	APC9	YLR102C	S000004092	genetic
S000000022	YAL024C	LTE1	APC9	YLR102C	S000004092	genetic
S000000022	YAL024C	LTE1	APC9	YLR102C	S000004092	genetic
S000000022	YAL024C	LTE1	APL4	YPR029C	S000006233	genetic
S000000022	YAL024C	LTE1	APS2	YJR058C	S000003819	genetic
S000000022	YAL024C	LTE1	APT2	YDR441C	S000002849	genetic
S000000022	YAL024C	LTE1	ARC18	YLR370C	S000004362	genetic
S000000022	YAL024C	LTE1	ARD1	YHR013C	S000001055	genetic
S000000022	YAL024C	LTE1	ARD1	YHR013C	S000001055	genetic
S000000022	YAL024C	LTE1	ARE1	YCR048W	S000000644	genetic
S000000022	YAL024C	LTE1	ARO2	YGL148W	S000003116	physical
S000000022	YAL024C	LTE1	ARP1	YHR129C	S000001171	genetic
S000000022	YAL024C	LTE1	ARP4	YJL081C	S000003617	genetic
S000000022	YAL024C	LTE1	ARP4	YJL081C	S000003617	genetic
S000000022	YAL024C	LTE1	ARP9	YMR033W	S000004636	genetic
S000000022	YAL024C	LTE1	ARP9	YMR033W	S000004636	genetic
S000000022	YAL024C	LTE1	ARX1	YDR101C	S000002508	genetic
S000000022	YAL024C	LTE1	ASC1	YMR116C	S000004722	physical
S000000022	YAL024C	LTE1	ASF1	YJL115W	S000003651	genetic
S000000022	YAL024C	LTE1	ASF1	YJL115W	S000003651	genetic
S000000022	YAL024C	LTE1	ASF1	YJL115W	S000003651	genetic
S000000022	YAL024C	LTE1	ASN1	YPR145W	S000006349	physical
S000000022	YAL024C	LTE1	ATC1	YDR184C	S000002592	genetic
