#node	identifier	domain_summary_url	annotation	other_names_and_aliases
UM00295.1	5270.UM00295P0	https://smart.embl.de/smart/DDvec.cgi?smart=191:RHO(6|179)+	Chromosome 1, whole genome shotgun sequence; CC42_CANAL CELL DIVISION CONTROL PROTEIN 42 HOMOLOGGTP binding protein Cdc42; Belongs to the small GTPase superfamily. Rho family	23561640	A0A0D1CFT4	A0A0D1CFT4_USTMA	AAM73880.1	AF463452	Chromosome 1, whole genome shotgun sequence	EAK81280.1	F5H9H7_USTMA	UM00295	UM00295	UM00295	UM00295	UM00295.1	UM00295.1	UM00295P0	UM00295P0	UM00295P0	UM00295T0	UM00295T0	UM00295T0	UMAG_00295	UPI000006A7CE	XM_751349	XM_751349.1	XP_011386207	XP_011386207.1	XP_756442	XP_756442.1	uma:UMAG_00295
UM00774.1	5270.UM00774P0	https://smart.embl.de/smart/DDvec.cgi?smart=193:RHO(6|179)+	Chromosome 1, whole genome shotgun sequence; Belongs to the small GTPase superfamily. Rho family	23561981	A0A0D1EDW6	A0A0D1EDW6_USTMA	AAM74083.1	AF495535	Chromosome 1, whole genome shotgun sequence	EAK81146.1	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q4PGI9_USTMA	UM00774	UM00774	UM00774	UM00774	UM00774.1	UM00774.1	UM00774P0	UM00774P0	UM00774P0	UM00774T0	UM00774T0	UM00774T0	UMAG_00774	UPI00003C12BD	XM_751828	XM_751828.1	XP_011386548	XP_011386548.1	XP_756921	XP_756921.1	uma:UMAG_00774
UM01141.1	5270.UM01141P0	https://smart.embl.de/smart/DDvec.cgi?smart=2195:Drf_GBD(533|878)+Drf_FH3(883|1108)+COIL(1130|1168)+COIL(1204|1295)+COIL(1338|1409)+FH2(1593|2087)+	Diaphanous related Formin	23562245	A0A0D1CXZ5	A0A0D1CXZ5_USTMA	Diaphanous related Formin	EAK81700.1	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q4PFH2_USTMA	UM01141	UM01141	UM01141	UM01141	UM01141.1	UM01141.1	UM01141P0	UM01141P0	UM01141P0	UM01141T0	UM01141T0	UM01141T0	UMAG_01141	UPI00003C1428	XM_752195	XM_752195.1	XP_011387089	XP_011387089.1	XP_757288	XP_757288.1	uma:UMAG_01141
UM01453.1	5270.UM01453P0	https://smart.embl.de/smart/DDvec.cgi?smart=1208:AIP3(746|1142)+	Uncharacterized protein	23567514	A0A0D1CV21	A0A0D1CV21_USTMA	EAK82326.1	Hypothetical protein	Q4PEL0_USTMA	UM01453	UM01453	UM01453	UM01453	UM01453.1	UM01453.1	UM01453P0	UM01453P0	UM01453P0	UM01453T0	UM01453T0	UM01453T0	UMAG_11657	UPI00003C155A	Uncharacterized protein	XM_752507	XM_752507.1	XP_011388054	XP_011388054.1	XP_757600	XP_757600.1	hypothetical protein	hypothetical protein	uma:UMAG_11657
UM02494.1	5270.UM02494P0	https://smart.embl.de/smart/DDvec.cgi?smart=214:RHO(10|182)+	GTP binding protein Rho2; Belongs to the small GTPase superfamily. Rho family	23563228	A0A0D1C9B9	A0A0D1C9B9_USTMA	AAM74081.1	AF495533	EAK83532.1	GTP binding protein Rho2	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q4PBL9_USTMA	UM02494	UM02494	UM02494	UM02494	UM02494.1	UM02494.1	UM02494P0	UM02494P0	UM02494P0	UM02494T0	UM02494T0	UM02494T0	UMAG_02494	UPI00003C1963	XM_753548	XM_753548.1	XP_011388771	XP_011388771.1	XP_758641	XP_758641.1	uma:UMAG_02494
UM03300.1	5270.UM03300P0	https://smart.embl.de/smart/DDvec.cgi?smart=162:Pfam_Profilin(1|90)+Pfam_Profilin(98|162)+	Profilin	EAK84287.1	Profilin	Profilin	Profilin	Q4P9B3_USTMA	UM03300	UM03300	UM03300	UM03300	UM03300.1	UM03300.1	UM03300P0	UM03300P0	UM03300P0	UM03300T0	UM03300T0	UM03300T0	UPI00003C1C81	XM_754354	XM_754354.1	XP_759447	XP_759447.1
UM03428.1	5270.UM03428P0	https://smart.embl.de/smart/DDvec.cgi?smart=706:WW(158|190)+WW(205|237)+COIL(239|286)+Pfam_FF(493|543)+	Chromosome 9, whole genome shotgun sequence	23567005	A0A0D1E0U2	A0A0D1E0U2_USTMA	Chromosome 9, whole genome shotgun sequence	EAK84566.1	Hypothetical protein	Q4P8Y5_USTMA	UM03428	UM03428	UM03428	UM03428	UM03428.1	UM03428.1	UM03428P0	UM03428P0	UM03428P0	UM03428T0	UM03428T0	UM03428T0	UMAG_11076	UPI00003C1CFF	XM_754482	XM_754482.1	XP_011390083	XP_011390083.1	XP_759575	XP_759575.1	hypothetical protein	hypothetical protein	uma:UMAG_11076
UM03769.1	5270.UM03769P0	https://smart.embl.de/smart/DDvec.cgi?smart=640:RHO(35|208)+	Chromosome 10, whole genome shotgun sequence; Belongs to the small GTPase superfamily. Rho family	23566662	A0A0D1E0D6	A0A0D1E0D6_USTMA	Chromosome 10, whole genome shotgun sequence	EAK84804.1	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q4P7Z4_USTMA	UM03769	UM03769	UM03769	UM03769	UM03769.1	UM03769.1	UM03769P0	UM03769P0	UM03769P0	UM03769T0	UM03769T0	UM03769T0	UMAG_10663	UPI00003C1E51	XM_754823	XM_754823.1	XP_011390336	XP_011390336.1	XP_759916	XP_759916.1	uma:UMAG_10663
UM04070.1	5270.UM04070P0	https://smart.embl.de/smart/DDvec.cgi?smart=198:RHO(21|186)+	Rho3 GTP binding protein; Belongs to the small GTPase superfamily. Rho family	23564355	A0A0D1DUW3	A0A0D1DUW3_USTMA	AACP01000142	AAM74082.1	AF495534	EAK85019.1	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q4P743_USTMA	Rho3 GTP binding protein	UM04070	UM04070	UM04070	UM04070	UM04070.1	UM04070.1	UM04070P0	UM04070P0	UM04070P0	UM04070T0	UM04070T0	UM04070T0	UMAG_04070	UPI00003C1F7A	XM_755124	XM_755124.1	XP_011390508	XP_011390508.1	XP_760217	XP_760217.1	uma:UMAG_04070
UM04411.1	5270.UM04411P0	https://smart.embl.de/smart/DDvec.cgi?smart=820:SANT(7|56)+SANT(59|106)+Pfam_Myb_Cef(420|653)+COIL(680|703)+COIL(762|790)+	Pre-mRNA-splicing factor CEF1; Involved in pre-mRNA splicing and cell cycle control	23564605	23564605	A0A0D1DXS3	A0A0D1DXS3	CEF1	CEF1	CEF1_USTMA	CEF1_USTMA	CEF1_USTMA	EAK85679.1	Pre-mRNA-splicing factor CEF1	Pre-mRNA-splicing factor CEF1	Pre-mRNA-splicing factor CEF1	Pre-mRNA-splicing factor CEF1	Pre-mRNA-splicing factor CEF1	Q4P652	Q4P652	UM04411	UM04411	UM04411	UM04411	UM04411.1	UM04411.1	UM04411P0	UM04411P0	UM04411P0	UM04411T0	UM04411T0	UM04411T0	UMAG_04411	UMAG_04411	UPI00003C20CC	XM_755465	XM_755465.1	XP_011391106	XP_011391106.1	XP_011391106.1	XP_760558	XP_760558.1	uma:UMAG_04411
UM04507.1	5270.UM04507P0	https://smart.embl.de/smart/DDvec.cgi?smart=1084:Pfam_Tropomyosin_1(7|149)+KISc(717|1079)+	Uncharacterized protein	23567783	A0A0D1C0G6	A0A0D1C0G6_USTMA	EAK85389.1	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q4P5V6_USTMA	UM04507	UM04507	UM04507	UM04507	UM04507.1	UM04507.1	UM04507P0	UM04507P0	UM04507P0	UM04507T0	UM04507T0	UM04507T0	UMAG_11985	UPI00003C212A	Uncharacterized protein	XM_755561	XM_755561.1	XP_011391011	XP_011391011.1	XP_760654	XP_760654.1	uma:UMAG_11985
UM05553.1	5270.UM05553P0	https://smart.embl.de/smart/DDvec.cgi?smart=598:ARF(1|181)+Pfam_Methyltransf_23(293|495)+	Uncharacterized protein	23567635	A0A0D1CI17	A0A0D1CI17_USTMA	EAK86319.1	Putative uncharacterized protein	Putative uncharacterized protein	Putative uncharacterized protein	Q4P2W0_USTMA	UM05553	UM05553	UM05553	UM05553	UM05553.1	UM05553.1	UM05553P0	UM05553P0	UM05553P0	UM05553T0	UM05553T0	UM05553T0	UMAG_11792	UPI00003C252D	Uncharacterized protein	XM_756607	XM_756607.1	XP_011391960	XP_011391960.1	XP_761700	XP_761700.1	uma:UMAG_11792
