# pombe-cerevisiae manually curated orthologs V2.23
SPAC1782.04	YLR204W(N)|YNL295W(C)
SPAC806.02c	YIL003W(N)|YDR267C(C)
SPAC22A12.08c	YKR070W(N)|YDL142C(C)
SPBC16A3.11	YDR419W(N)|YFR027W(C)
SPCC1450.15	YDR302W(N)|YBR265W(C)
SPAC6F12.05c	YJR142W(N)|YOR143C(C)
SPBP4H10.15	YJL200C(N)|YJL096W(C)
SPAC22E12.10c	YER141W(N)|YPL252C(C)
SPAC19B12.13	YPL132W(N)|YKL155C(C)
SPAC1420.04c	YPL132W(N)|YKL155C(C)
SPBC530.12c	NONE(N)|YGR036C
SPAC15E1.04	NONE(N)|YOR074C(C)
SPCC1223.08c	YOR280C(N)|YMR222C(N)|YHR049W(N)|YOR236W(C)  
SPBC29A3.02c	YCL030C(FUSION-N)
SPBC1711.13	YCL030C(FUSION-C)
SPBC3B8.10	YPL099C
SPBC1703.02	YML127W
SPBC947.07	YKL082C
SPAPB1A11.03	YML054C
SPAC8C9.10c	YKL082C
SPAC12G12.17	YJL205C
SPAC1486.11	YIL098C
SPAC15A10.17	YPL189C-A
SPAC167.09	YNL158W
SPAC1952.04c	YBL029C-A
SPAC1B3.21	YJL062W-A
SPAC1F7.14c	YDL157C
SPAC22F3.15	YOR215C
SPAC23H4.21	YLR407W
SPAC25H1.10c	YOL077W-A
SPAC3F10.19	YLR437C
SPAC4D7.14	YGL108C
SPAC4F10.22	YMR194C-B
SPAC6B12.19	YLR221C
SPBC1604.25	YER058W
SPBC1711.18	YBR122C
SPBC21B10.14	YFR049W
SPBC24C6.13	YMR244C-A
SPBC25H2.18	YDR231C
SPBC2F12.17	YMR256C
SPBC30D10.21	YDR493W
SPBC4.07c	YDL007W
SPBC409.23	YLR099W-A
SPBC530.16	YNL024C-A
SPBC887.22	YJR010C-A
SPBC8D2.23	YNL122C
SPBC8E4.12c	YGR146C
SPCC1183.12	NONE
SPCC162.05	YOL096C
SPCC162.06c	YDR486C
SPCC162.07	YDL161W|YLL038C|YLR206W
SPCC162.08c	YIL149C|YKR095W
SPCC162.09c	YLR450W|YML075C
SPCC162.10	NONE
SPCC162.11c	YNR012W
SPCC162.12	YPL180W
SPCC4B3.20	YKL137W
SPMIT.01	Q0045
SPMIT.02	Q0110|Q0115|Q0120|Q0255
SPMIT.03	Q0060|Q0065|Q0075
SPMIT.04	Q0275
SPMIT.05	Q0105
SPMIT.06	Q0050|Q0055
SPMIT.07	Q0085
SPMIT.08	Q0140	
SPMIT.09	Q0080
SPMIT.10	Q0130
SPMIT.11	Q0250
SPBP35G2.16c	YGR146C
SPAC1071.13	NONE
SPAC1093.07	NONE
SPAC110.05	NONE
SPAC11D3.11c	NONE
SPAC11D3.19	NONE
SPAC1399.06	NONE
SPAC16E8.18c	NONE
SPAC17A5.19	NONE
SPAC17G8.15	YDR374W-A
